Код;Дата;Расход
00002114;26.06.2023 0:00:00;138
00002114;27.06.2023 0:00:00;80
00002114;28.06.2023 0:00:00;50
00002114;29.06.2023 0:00:00;29
00002114;30.06.2023 0:00:00;20
00002114;01.07.2023 0:00:00;30
00002114;02.07.2023 0:00:00;149
00002114;03.07.2023 0:00:00;412
00002114;04.07.2023 0:00:00;31
00002114;05.07.2023 0:00:00;37
00002114;06.07.2023 0:00:00;30
00002114;07.07.2023 0:00:00;580
00002114;08.07.2023 0:00:00;2
00002114;09.07.2023 0:00:00;28
00002114;10.07.2023 0:00:00;32
00002114;11.07.2023 0:00:00;20
00002114;12.07.2023 0:00:00;217
00002114;13.07.2023 0:00:00;32
00002114;14.07.2023 0:00:00;2
00002114;15.07.2023 0:00:00;57
00002114;16.07.2023 0:00:00;47
00002114;17.07.2023 0:00:00;49
00002114;18.07.2023 0:00:00;208
00002114;19.07.2023 0:00:00;325
00002114;20.07.2023 0:00:00;21
00002114;21.07.2023 0:00:00;38
00002114;22.07.2023 0:00:00;40
00002114;23.07.2023 0:00:00;27
00002114;24.07.2023 0:00:00;25
00002114;25.07.2023 0:00:00;31
00002114;26.07.2023 0:00:00;10
00002114;27.07.2023 0:00:00;1508
00002114;28.07.2023 0:00:00;0
00002114;29.07.2023 0:00:00;30
00002114;30.07.2023 0:00:00;143
00002114;31.07.2023 0:00:00;32
00002114;01.08.2023 0:00:00;17
00002114;02.08.2023 0:00:00;170
00002114;03.08.2023 0:00:00;35
00002114;04.08.2023 0:00:00;25
00002114;05.08.2023 0:00:00;1014
00002114;06.08.2023 0:00:00;85
00002114;07.08.2023 0:00:00;21
00002114;08.08.2023 0:00:00;6
00002114;09.08.2023 0:00:00;3
00002114;10.08.2023 0:00:00;300
00002114;11.08.2023 0:00:00;17
00002114;12.08.2023 0:00:00;2
00002114;13.08.2023 0:00:00;14
00002114;14.08.2023 0:00:00;386
00002114;15.08.2023 0:00:00;55
00002114;16.08.2023 0:00:00;47
00002114;17.08.2023 0:00:00;0
00002114;18.08.2023 0:00:00;45
00002114;19.08.2023 0:00:00;800
00002114;20.08.2023 0:00:00;185
00002114;21.08.2023 0:00:00;20
00002114;22.08.2023 0:00:00;12
00002114;23.08.2023 0:00:00;133
00002114;24.08.2023 0:00:00;230
00002114;25.08.2023 0:00:00;10
00002114;26.08.2023 0:00:00;17
00002114;27.08.2023 0:00:00;149
00002114;28.08.2023 0:00:00;31
00002114;29.08.2023 0:00:00;205
00002114;30.08.2023 0:00:00;201
00002114;31.08.2023 0:00:00;9
00002114;01.09.2023 0:00:00;5
00002114;02.09.2023 0:00:00;5
00002114;03.09.2023 0:00:00;72
00002114;04.09.2023 0:00:00;20
00002114;05.09.2023 0:00:00;15
00002114;06.09.2023 0:00:00;240
00002114;07.09.2023 0:00:00;11
00002114;08.09.2023 0:00:00;120
00002114;09.09.2023 0:00:00;30
00002114;10.09.2023 0:00:00;36
00002114;11.09.2023 0:00:00;643
00002114;12.09.2023 0:00:00;184
00002114;13.09.2023 0:00:00;168
00002114;14.09.2023 0:00:00;21
00002114;15.09.2023 0:00:00;116
00002114;16.09.2023 0:00:00;0
00002114;17.09.2023 0:00:00;1
00002114;18.09.2023 0:00:00;24
00002114;19.09.2023 0:00:00;17
00002114;20.09.2023 0:00:00;116
00002114;21.09.2023 0:00:00;200
00002114;22.09.2023 0:00:00;0
00002114;23.09.2023 0:00:00;3
00002114;24.09.2023 0:00:00;60
00002114;25.09.2023 0:00:00;8
00002114;26.09.2023 0:00:00;27
00002114;27.09.2023 0:00:00;5
00002114;28.09.2023 0:00:00;1011
00002114;29.09.2023 0:00:00;3
00002114;30.09.2023 0:00:00;10
00002114;01.10.2023 0:00:00;210
00002114;02.10.2023 0:00:00;11
00002114;03.10.2023 0:00:00;6
00002114;04.10.2023 0:00:00;161
00002114;05.10.2023 0:00:00;212
00002114;06.10.2023 0:00:00;50
00002114;07.10.2023 0:00:00;70
00002114;08.10.2023 0:00:00;28
00002114;09.10.2023 0:00:00;140
00002114;10.10.2023 0:00:00;10
00002114;11.10.2023 0:00:00;64
00002114;12.10.2023 0:00:00;63
00002114;13.10.2023 0:00:00;35
