Код;Дата;Расход
00002108;26.06.2023 0:00:00;5
00002108;27.06.2023 0:00:00;23
00002108;28.06.2023 0:00:00;24
00002108;29.06.2023 0:00:00;2
00002108;30.06.2023 0:00:00;11
00002108;01.07.2023 0:00:00;62
00002108;02.07.2023 0:00:00;17
00002108;03.07.2023 0:00:00;429
00002108;04.07.2023 0:00:00;17
00002108;05.07.2023 0:00:00;15
00002108;06.07.2023 0:00:00;0
00002108;07.07.2023 0:00:00;60
00002108;08.07.2023 0:00:00;7
00002108;09.07.2023 0:00:00;7
00002108;10.07.2023 0:00:00;10
00002108;11.07.2023 0:00:00;7
00002108;12.07.2023 0:00:00;10
00002108;13.07.2023 0:00:00;4
00002108;14.07.2023 0:00:00;2
00002108;15.07.2023 0:00:00;20
00002108;16.07.2023 0:00:00;12
00002108;17.07.2023 0:00:00;64
00002108;18.07.2023 0:00:00;7
00002108;19.07.2023 0:00:00;40
00002108;20.07.2023 0:00:00;2
00002108;21.07.2023 0:00:00;8
00002108;22.07.2023 0:00:00;13
00002108;23.07.2023 0:00:00;20
00002108;24.07.2023 0:00:00;217
00002108;25.07.2023 0:00:00;40
00002108;26.07.2023 0:00:00;28
00002108;27.07.2023 0:00:00;1320
00002108;28.07.2023 0:00:00;3
00002108;29.07.2023 0:00:00;10
00002108;30.07.2023 0:00:00;15
00002108;31.07.2023 0:00:00;8
00002108;01.08.2023 0:00:00;9
00002108;02.08.2023 0:00:00;80
00002108;03.08.2023 0:00:00;25
00002108;04.08.2023 0:00:00;40
00002108;05.08.2023 0:00:00;418
00002108;06.08.2023 0:00:00;411
00002108;07.08.2023 0:00:00;11
00002108;08.08.2023 0:00:00;82
00002108;09.08.2023 0:00:00;5
00002108;10.08.2023 0:00:00;431
00002108;11.08.2023 0:00:00;0
00002108;12.08.2023 0:00:00;15
00002108;13.08.2023 0:00:00;5
00002108;14.08.2023 0:00:00;128
00002108;15.08.2023 0:00:00;1
00002108;16.08.2023 0:00:00;30
00002108;17.08.2023 0:00:00;0
00002108;18.08.2023 0:00:00;1
00002108;19.08.2023 0:00:00;130
00002108;20.08.2023 0:00:00;36
00002108;21.08.2023 0:00:00;6
00002108;22.08.2023 0:00:00;7
00002108;23.08.2023 0:00:00;4
00002108;24.08.2023 0:00:00;210
00002108;25.08.2023 0:00:00;11
00002108;26.08.2023 0:00:00;0
00002108;27.08.2023 0:00:00;22
00002108;28.08.2023 0:00:00;29
00002108;29.08.2023 0:00:00;213
00002108;30.08.2023 0:00:00;190
00002108;31.08.2023 0:00:00;0
00002108;01.09.2023 0:00:00;1
00002108;02.09.2023 0:00:00;0
00002108;03.09.2023 0:00:00;6
00002108;04.09.2023 0:00:00;13
00002108;05.09.2023 0:00:00;4
00002108;06.09.2023 0:00:00;62
00002108;07.09.2023 0:00:00;0
00002108;08.09.2023 0:00:00;2
00002108;09.09.2023 0:00:00;0
00002108;10.09.2023 0:00:00;61
00002108;11.09.2023 0:00:00;341
00002108;12.09.2023 0:00:00;31
00002108;13.09.2023 0:00:00;50
00002108;14.09.2023 0:00:00;7
00002108;15.09.2023 0:00:00;1
00002108;16.09.2023 0:00:00;6
00002108;17.09.2023 0:00:00;1
00002108;18.09.2023 0:00:00;19
00002108;19.09.2023 0:00:00;10
00002108;20.09.2023 0:00:00;69
00002108;21.09.2023 0:00:00;122
00002108;22.09.2023 0:00:00;0
00002108;23.09.2023 0:00:00;10
00002108;24.09.2023 0:00:00;16
00002108;25.09.2023 0:00:00;4
00002108;26.09.2023 0:00:00;8
00002108;27.09.2023 0:00:00;0
00002108;28.09.2023 0:00:00;646
00002108;29.09.2023 0:00:00;40
00002108;30.09.2023 0:00:00;20
00002108;01.10.2023 0:00:00;52
00002108;02.10.2023 0:00:00;65
00002108;03.10.2023 0:00:00;2
00002108;04.10.2023 0:00:00;31
00002108;05.10.2023 0:00:00;4
00002108;06.10.2023 0:00:00;6
00002108;07.10.2023 0:00:00;0
00002108;08.10.2023 0:00:00;24
00002108;09.10.2023 0:00:00;28
00002108;10.10.2023 0:00:00;4
00002108;11.10.2023 0:00:00;0
00002108;12.10.2023 0:00:00;0
00002108;13.10.2023 0:00:00;0
00002108;14.10.2023 0:00:00;22
00002108;15.10.2023 0:00:00;0
00002108;16.10.2023 0:00:00;2
00002108;17.10.2023 0:00:00;29
00002108;18.10.2023 0:00:00;83
00002108;19.10.2023 0:00:00;1
00002108;20.10.2023 0:00:00;11
00002108;21.10.2023 0:00:00;10
00002108;22.10.2023 0:00:00;6
00002108;23.10.2023 0:00:00;33
00002108;24.10.2023 0:00:00;0
00002108;25.10.2023 0:00:00;30
00002108;26.10.2023 0:00:00;0
00002108;27.10.2023 0:00:00;1
00002108;28.10.2023 0:00:00;10
00002108;29.10.2023 0:00:00;14
00002108;30.10.2023 0:00:00;9
00002108;31.10.2023 0:00:00;1
00002108;01.11.2023 0:00:00;200
00002108;02.11.2023 0:00:00;1
00002108;03.11.2023 0:00:00;0
00002108;04.11.2023 0:00:00;35
00002108;05.11.2023 0:00:00;5
00002108;06.11.2023 0:00:00;22
00002108;07.11.2023 0:00:00;12
00002108;08.11.2023 0:00:00;33
00002108;09.11.2023 0:00:00;3
00002108;10.11.2023 0:00:00;13
00002108;11.11.2023 0:00:00;5
00002108;12.11.2023 0:00:00;13
00002108;13.11.2023 0:00:00;201
00002108;14.11.2023 0:00:00;10
00002108;15.11.2023 0:00:00;46
00002108;16.11.2023 0:00:00;18
00002108;17.11.2023 0:00:00;1
00002108;18.11.2023 0:00:00;15
00002108;19.11.2023 0:00:00;11
00002108;20.11.2023 0:00:00;5
00002108;21.11.2023 0:00:00;0
00002108;22.11.2023 0:00:00;83
00002108;23.11.2023 0:00:00;1
00002108;24.11.2023 0:00:00;407
00002108;25.11.2023 0:00:00;3
00002108;26.11.2023 0:00:00;15
00002108;27.11.2023 0:00:00;0
00002108;28.11.2023 0:00:00;121
00002108;29.11.2023 0:00:00;10
00002108;30.11.2023 0:00:00;162
00002108;01.12.2023 0:00:00;0
00002108;02.12.2023 0:00:00;112
00002108;03.12.2023 0:00:00;213
00002108;04.12.2023 0:00:00;10
00002108;05.12.2023 0:00:00;35
00002108;06.12.2023 0:00:00;60
00002108;07.12.2023 0:00:00;36
00002108;08.12.2023 0:00:00;5
00002108;09.12.2023 0:00:00;1
00002108;10.12.2023 0:00:00;301
00002108;11.12.2023 0:00:00;1
00002108;12.12.2023 0:00:00;10
00002108;13.12.2023 0:00:00;20
00002108;14.12.2023 0:00:00;0
00002108;15.12.2023 0:00:00;10
00002108;16.12.2023 0:00:00;0
00002108;17.12.2023 0:00:00;34
00002108;18.12.2023 0:00:00;3
00002108;19.12.2023 0:00:00;7
00002108;20.12.2023 0:00:00;20
00002108;21.12.2023 0:00:00;4
00002108;22.12.2023 0:00:00;5
00002108;23.12.2023 0:00:00;9
00002108;24.12.2023 0:00:00;0
00002108;25.12.2023 0:00:00;5
00002108;26.12.2023 0:00:00;6
00002108;27.12.2023 0:00:00;34
00002108;28.12.2023 0:00:00;0
00002108;29.12.2023 0:00:00;0
00002108;30.12.2023 0:00:00;0
00002108;31.12.2023 0:00:00;0
00002108;01.01.2024 0:00:00;0
00002108;02.01.2024 0:00:00;0
00002108;03.01.2024 0:00:00;0
00002108;04.01.2024 0:00:00;1
00002108;05.01.2024 0:00:00;5
00002108;06.01.2024 0:00:00;4
00002108;07.01.2024 0:00:00;10
00002108;08.01.2024 0:00:00;0
00002108;09.01.2024 0:00:00;2
00002108;10.01.2024 0:00:00;21
00002108;11.01.2024 0:00:00;1
00002108;12.01.2024 0:00:00;1
00002108;13.01.2024 0:00:00;3
00002108;14.01.2024 0:00:00;1
00002108;15.01.2024 0:00:00;0
00002108;16.01.2024 0:00:00;0
00002108;17.01.2024 0:00:00;0
00002108;18.01.2024 0:00:00;30
00002108;19.01.2024 0:00:00;0
00002108;20.01.2024 0:00:00;0
00002108;21.01.2024 0:00:00;25
00002108;22.01.2024 0:00:00;2
00002108;23.01.2024 0:00:00;12
00002108;24.01.2024 0:00:00;7
00002108;25.01.2024 0:00:00;2
00002108;26.01.2024 0:00:00;0
00002108;27.01.2024 0:00:00;20
00002108;28.01.2024 0:00:00;10
00002108;29.01.2024 0:00:00;201
00002108;30.01.2024 0:00:00;2
00002108;31.01.2024 0:00:00;6
00002108;01.02.2024 0:00:00;30
00002108;02.02.2024 0:00:00;0
00002108;03.02.2024 0:00:00;12
00002108;04.02.2024 0:00:00;205
