Код;Дата;Расход
00024731;27.06.2023 0:00:00;24
00024731;28.06.2023 0:00:00;29
00024731;29.06.2023 0:00:00;0
00024731;30.06.2023 0:00:00;0
00024731;01.07.2023 0:00:00;1
00024731;02.07.2023 0:00:00;16
00024731;01.08.2023 0:00:00;0
00024731;02.08.2023 0:00:00;97
00024731;03.08.2023 0:00:00;0
00024731;04.08.2023 0:00:00;0
00024731;05.08.2023 0:00:00;1
00024731;06.08.2023 0:00:00;0
00024731;07.08.2023 0:00:00;2
00024731;31.08.2023 0:00:00;1
00024731;01.09.2023 0:00:00;0
00024731;02.09.2023 0:00:00;6
00024731;03.09.2023 0:00:00;16
00024731;04.09.2023 0:00:00;2
00024731;05.09.2023 0:00:00;10
00024731;06.09.2023 0:00:00;92
00024731;07.09.2023 0:00:00;0
00024731;08.09.2023 0:00:00;20
00024731;09.09.2023 0:00:00;3
00024731;26.09.2023 0:00:00;0
00024731;27.09.2023 0:00:00;55
00024731;28.09.2023 0:00:00;5
00024731;29.09.2023 0:00:00;20
00024731;30.09.2023 0:00:00;0
00024731;01.10.2023 0:00:00;0
00024731;02.10.2023 0:00:00;0
00024731;03.10.2023 0:00:00;0
00024731;04.10.2023 0:00:00;20
00024731;26.10.2023 0:00:00;0
00024731;27.10.2023 0:00:00;0
00024731;28.10.2023 0:00:00;3
00024731;29.10.2023 0:00:00;31
00024731;30.10.2023 0:00:00;16
00024731;31.10.2023 0:00:00;3
00024731;01.11.2023 0:00:00;107
00024731;21.11.2023 0:00:00;0
00024731;22.11.2023 0:00:00;50
00024731;23.11.2023 0:00:00;0
00024731;24.11.2023 0:00:00;0
00024731;25.11.2023 0:00:00;21
00024731;26.11.2023 0:00:00;0
00024731;27.11.2023 0:00:00;0
00024731;28.11.2023 0:00:00;0
00024731;29.11.2023 0:00:00;22
00024731;30.11.2023 0:00:00;0
00024731;01.12.2023 0:00:00;0
00024731;02.12.2023 0:00:00;1
00024731;03.12.2023 0:00:00;12
00024731;04.12.2023 0:00:00;0
00024731;05.12.2023 0:00:00;0
00024731;06.12.2023 0:00:00;1
00024731;07.12.2023 0:00:00;1
00024731;08.12.2023 0:00:00;0
00024731;09.12.2023 0:00:00;0
00024731;10.12.2023 0:00:00;8
00024731;11.12.2023 0:00:00;0
00024731;12.12.2023 0:00:00;0
00024731;13.12.2023 0:00:00;5
00024731;14.12.2023 0:00:00;0
00024731;15.12.2023 0:00:00;0
00024731;16.12.2023 0:00:00;10
00024731;17.12.2023 0:00:00;0
00024731;18.12.2023 0:00:00;0
