Код;Дата;Расход
00000651;26.06.2023 0:00:00;232
00000651;27.06.2023 0:00:00;154
00000651;28.06.2023 0:00:00;586
00000651;29.06.2023 0:00:00;82
00000651;30.06.2023 0:00:00;0
00000651;01.07.2023 0:00:00;100
00000651;02.07.2023 0:00:00;80
00000651;03.07.2023 0:00:00;260
00000651;04.07.2023 0:00:00;272
00000651;05.07.2023 0:00:00;520
00000651;06.07.2023 0:00:00;274
00000651;07.07.2023 0:00:00;50
00000651;08.07.2023 0:00:00;40
00000651;09.07.2023 0:00:00;200
00000651;10.07.2023 0:00:00;30
00000651;11.07.2023 0:00:00;838
00000651;12.07.2023 0:00:00;552
00000651;13.07.2023 0:00:00;50
00000651;14.07.2023 0:00:00;12
00000651;15.07.2023 0:00:00;130
00000651;16.07.2023 0:00:00;80
00000651;17.07.2023 0:00:00;92
00000651;18.07.2023 0:00:00;145
00000651;19.07.2023 0:00:00;0
00000651;20.07.2023 0:00:00;334
00000651;21.07.2023 0:00:00;220
00000651;22.07.2023 0:00:00;360
00000651;23.07.2023 0:00:00;666
00000651;24.07.2023 0:00:00;213
00000651;25.07.2023 0:00:00;176
00000651;26.07.2023 0:00:00;0
00000651;27.07.2023 0:00:00;0
00000651;28.07.2023 0:00:00;50
00000651;29.07.2023 0:00:00;0
00000651;30.07.2023 0:00:00;300
00000651;31.07.2023 0:00:00;30
00000651;01.08.2023 0:00:00;246
00000651;02.08.2023 0:00:00;530
00000651;03.08.2023 0:00:00;180
00000651;04.08.2023 0:00:00;0
00000651;05.08.2023 0:00:00;184
00000651;06.08.2023 0:00:00;2180
00000651;07.08.2023 0:00:00;80
00000651;08.08.2023 0:00:00;196
00000651;09.08.2023 0:00:00;44
00000651;10.08.2023 0:00:00;140
00000651;11.08.2023 0:00:00;50
00000651;12.08.2023 0:00:00;360
00000651;13.08.2023 0:00:00;10
00000651;14.08.2023 0:00:00;52
00000651;15.08.2023 0:00:00;309
00000651;16.08.2023 0:00:00;520
00000651;17.08.2023 0:00:00;116
00000651;18.08.2023 0:00:00;110
00000651;19.08.2023 0:00:00;680
00000651;20.08.2023 0:00:00;12
00000651;21.08.2023 0:00:00;320
00000651;22.08.2023 0:00:00;1100
00000651;23.08.2023 0:00:00;390
00000651;24.08.2023 0:00:00;7
00000651;25.08.2023 0:00:00;0
00000651;26.08.2023 0:00:00;0
00000651;27.08.2023 0:00:00;250
00000651;28.08.2023 0:00:00;135
00000651;29.08.2023 0:00:00;90
00000651;30.08.2023 0:00:00;500
00000651;31.08.2023 0:00:00;15
00000651;01.09.2023 0:00:00;170
00000651;02.09.2023 0:00:00;220
00000651;03.09.2023 0:00:00;205
00000651;04.09.2023 0:00:00;50
00000651;05.09.2023 0:00:00;340
00000651;06.09.2023 0:00:00;70
00000651;07.09.2023 0:00:00;422
00000651;08.09.2023 0:00:00;50
00000651;09.09.2023 0:00:00;110
00000651;10.09.2023 0:00:00;230
00000651;11.09.2023 0:00:00;328
00000651;12.09.2023 0:00:00;342
00000651;13.09.2023 0:00:00;720
00000651;14.09.2023 0:00:00;160
00000651;15.09.2023 0:00:00;290
00000651;16.09.2023 0:00:00;60
00000651;17.09.2023 0:00:00;80
00000651;18.09.2023 0:00:00;74
00000651;19.09.2023 0:00:00;412
00000651;20.09.2023 0:00:00;510
00000651;21.09.2023 0:00:00;240
00000651;22.09.2023 0:00:00;0
00000651;23.09.2023 0:00:00;80
00000651;24.09.2023 0:00:00;250
00000651;25.09.2023 0:00:00;77
00000651;26.09.2023 0:00:00;130
00000651;27.09.2023 0:00:00;34
00000651;28.09.2023 0:00:00;210
00000651;29.09.2023 0:00:00;125
00000651;30.09.2023 0:00:00;180
00000651;01.10.2023 0:00:00;701
00000651;02.10.2023 0:00:00;54
00000651;03.10.2023 0:00:00;570
00000651;04.10.2023 0:00:00;730
00000651;05.10.2023 0:00:00;220
00000651;06.10.2023 0:00:00;0
00000651;07.10.2023 0:00:00;1300
00000651;08.10.2023 0:00:00;140
00000651;09.10.2023 0:00:00;51
00000651;10.10.2023 0:00:00;140
00000651;11.10.2023 0:00:00;1620
00000651;12.10.2023 0:00:00;160
00000651;13.10.2023 0:00:00;120
00000651;14.10.2023 0:00:00;230
00000651;15.10.2023 0:00:00;119
00000651;16.10.2023 0:00:00;166
00000651;17.10.2023 0:00:00;620
00000651;18.10.2023 0:00:00;1200
00000651;19.10.2023 0:00:00;120
00000651;20.10.2023 0:00:00;270
00000651;21.10.2023 0:00:00;120
00000651;22.10.2023 0:00:00;870
00000651;23.10.2023 0:00:00;130
00000651;24.10.2023 0:00:00;500
00000651;25.10.2023 0:00:00;175
00000651;26.10.2023 0:00:00;144
00000651;27.10.2023 0:00:00;15
00000651;28.10.2023 0:00:00;170
00000651;29.10.2023 0:00:00;172
00000651;30.10.2023 0:00:00;300
00000651;31.10.2023 0:00:00;190
00000651;01.11.2023 0:00:00;551
00000651;02.11.2023 0:00:00;150
00000651;03.11.2023 0:00:00;80
00000651;04.11.2023 0:00:00;100
00000651;05.11.2023 0:00:00;130
00000651;06.11.2023 0:00:00;210
00000651;07.11.2023 0:00:00;306
00000651;08.11.2023 0:00:00;580
00000651;09.11.2023 0:00:00;40
00000651;10.11.2023 0:00:00;110
00000651;11.11.2023 0:00:00;100
00000651;12.11.2023 0:00:00;820
00000651;13.11.2023 0:00:00;632
00000651;14.11.2023 0:00:00;390
00000651;15.11.2023 0:00:00;1122
00000651;16.11.2023 0:00:00;352
00000651;17.11.2023 0:00:00;69
00000651;18.11.2023 0:00:00;280
00000651;19.11.2023 0:00:00;40
00000651;20.11.2023 0:00:00;140
00000651;21.11.2023 0:00:00;30
00000651;22.11.2023 0:00:00;3574
00000651;23.11.2023 0:00:00;202
00000651;24.11.2023 0:00:00;130
00000651;25.11.2023 0:00:00;282
00000651;26.11.2023 0:00:00;32
00000651;27.11.2023 0:00:00;588
00000651;28.11.2023 0:00:00;0
00000651;29.11.2023 0:00:00;50
00000651;30.11.2023 0:00:00;0
00000651;01.12.2023 0:00:00;0
00000651;02.12.2023 0:00:00;280
00000651;03.12.2023 0:00:00;196
00000651;04.12.2023 0:00:00;150
00000651;05.12.2023 0:00:00;310
00000651;06.12.2023 0:00:00;0
00000651;07.12.2023 0:00:00;0
00000651;08.12.2023 0:00:00;0
00000651;09.12.2023 0:00:00;0
00000651;10.12.2023 0:00:00;0
00000651;11.12.2023 0:00:00;0
00000651;12.12.2023 0:00:00;0
00000651;13.12.2023 0:00:00;154
00000651;14.12.2023 0:00:00;180
00000651;15.12.2023 0:00:00;104
00000651;16.12.2023 0:00:00;30
00000651;17.12.2023 0:00:00;1484
00000651;18.12.2023 0:00:00;1202
00000651;19.12.2023 0:00:00;240
00000651;20.12.2023 0:00:00;700
00000651;21.12.2023 0:00:00;100
00000651;22.12.2023 0:00:00;70
00000651;23.12.2023 0:00:00;90
00000651;24.12.2023 0:00:00;250
00000651;25.12.2023 0:00:00;120
00000651;26.12.2023 0:00:00;190
00000651;27.12.2023 0:00:00;130
00000651;28.12.2023 0:00:00;0
00000651;29.12.2023 0:00:00;82
00000651;30.12.2023 0:00:00;0
00000651;31.12.2023 0:00:00;0
00000651;01.01.2024 0:00:00;0
00000651;02.01.2024 0:00:00;0
00000651;03.01.2024 0:00:00;0
00000651;04.01.2024 0:00:00;620
00000651;05.01.2024 0:00:00;0
00000651;06.01.2024 0:00:00;10
00000651;07.01.2024 0:00:00;100
00000651;08.01.2024 0:00:00;126
00000651;09.01.2024 0:00:00;100
00000651;10.01.2024 0:00:00;10
00000651;11.01.2024 0:00:00;140
00000651;12.01.2024 0:00:00;52
00000651;13.01.2024 0:00:00;250
00000651;14.01.2024 0:00:00;646
00000651;15.01.2024 0:00:00;0
00000651;16.01.2024 0:00:00;12
00000651;17.01.2024 0:00:00;0
00000651;18.01.2024 0:00:00;10
00000651;19.01.2024 0:00:00;100
00000651;20.01.2024 0:00:00;0
00000651;21.01.2024 0:00:00;30
00000651;22.01.2024 0:00:00;392
00000651;23.01.2024 0:00:00;58
00000651;24.01.2024 0:00:00;0
00000651;25.01.2024 0:00:00;0
00000651;26.01.2024 0:00:00;150
00000651;27.01.2024 0:00:00;1500
00000651;28.01.2024 0:00:00;2
00000651;29.01.2024 0:00:00;214
00000651;30.01.2024 0:00:00;400
00000651;31.01.2024 0:00:00;622
00000651;01.02.2024 0:00:00;232
00000651;02.02.2024 0:00:00;40
00000651;03.02.2024 0:00:00;510
00000651;04.02.2024 0:00:00;580
00000651;05.02.2024 0:00:00;98
00000651;06.02.2024 0:00:00;82
00000651;07.02.2024 0:00:00;532
00000651;08.02.2024 0:00:00;115
00000651;09.02.2024 0:00:00;0
00000651;10.02.2024 0:00:00;50
00000651;11.02.2024 0:00:00;130
00000651;12.02.2024 0:00:00;88
00000651;13.02.2024 0:00:00;602
00000651;14.02.2024 0:00:00;24
00000651;15.02.2024 0:00:00;200
00000651;16.02.2024 0:00:00;30
00000651;17.02.2024 0:00:00;290
00000651;18.02.2024 0:00:00;110
00000651;19.02.2024 0:00:00;220
00000651;20.02.2024 0:00:00;350
00000651;21.02.2024 0:00:00;529
00000651;22.02.2024 0:00:00;107
