Код;Дата;Расход
00000386;23.06.2024 0:00:00;5
00000386;22.06.2024 0:00:00;303
00000386;21.06.2024 0:00:00;19
00000386;20.06.2024 0:00:00;67
00000386;19.06.2024 0:00:00;32
00000386;18.06.2024 0:00:00;5
00000386;17.06.2024 0:00:00;2
00000386;16.06.2024 0:00:00;1
00000386;15.06.2024 0:00:00;11
00000386;14.06.2024 0:00:00;17
00000386;13.06.2024 0:00:00;1
00000386;12.06.2024 0:00:00;6
00000386;11.06.2024 0:00:00;5
00000386;10.06.2024 0:00:00;2
00000386;09.06.2024 0:00:00;10
00000386;08.06.2024 0:00:00;34
00000386;07.06.2024 0:00:00;16
00000386;06.06.2024 0:00:00;0
00000386;05.06.2024 0:00:00;12
00000386;04.06.2024 0:00:00;6
00000386;03.06.2024 0:00:00;49
00000386;02.06.2024 0:00:00;30
00000386;01.06.2024 0:00:00;4
00000386;31.05.2024 0:00:00;9
00000386;30.05.2024 0:00:00;31
00000386;29.05.2024 0:00:00;46
00000386;28.05.2024 0:00:00;20
00000386;27.05.2024 0:00:00;8
00000386;26.05.2024 0:00:00;60
00000386;25.05.2024 0:00:00;179
00000386;24.05.2024 0:00:00;35
00000386;23.05.2024 0:00:00;1
00000386;22.05.2024 0:00:00;52
00000386;21.05.2024 0:00:00;9
00000386;20.05.2024 0:00:00;13
00000386;19.05.2024 0:00:00;35
00000386;18.05.2024 0:00:00;1
00000386;17.05.2024 0:00:00;25
00000386;16.05.2024 0:00:00;1
00000386;15.05.2024 0:00:00;41
00000386;14.05.2024 0:00:00;20
00000386;13.05.2024 0:00:00;32
00000386;12.05.2024 0:00:00;100
00000386;11.05.2024 0:00:00;6
00000386;10.05.2024 0:00:00;10
00000386;09.05.2024 0:00:00;42
00000386;08.05.2024 0:00:00;52
00000386;07.05.2024 0:00:00;12
00000386;06.05.2024 0:00:00;5
00000386;05.05.2024 0:00:00;5
00000386;04.05.2024 0:00:00;0
00000386;03.05.2024 0:00:00;20
00000386;02.05.2024 0:00:00;11
00000386;01.05.2024 0:00:00;46
00000386;30.04.2024 0:00:00;29
00000386;29.04.2024 0:00:00;28
00000386;28.04.2024 0:00:00;22
00000386;27.04.2024 0:00:00;0
00000386;26.04.2024 0:00:00;2
00000386;25.04.2024 0:00:00;10
00000386;24.04.2024 0:00:00;62
00000386;23.04.2024 0:00:00;15
00000386;22.04.2024 0:00:00;8
00000386;21.04.2024 0:00:00;28
00000386;20.04.2024 0:00:00;21
00000386;19.04.2024 0:00:00;6
00000386;18.04.2024 0:00:00;6
