Код;Дата;Расход
00002110;26.06.2023 0:00:00;23
00002110;27.06.2023 0:00:00;69
00002110;28.06.2023 0:00:00;88
00002110;29.06.2023 0:00:00;16
00002110;30.06.2023 0:00:00;18
00002110;01.07.2023 0:00:00;0
00002110;02.07.2023 0:00:00;100
00002110;03.07.2023 0:00:00;858
00002110;04.07.2023 0:00:00;45
00002110;05.07.2023 0:00:00;267
00002110;06.07.2023 0:00:00;3
00002110;07.07.2023 0:00:00;855
00002110;08.07.2023 0:00:00;0
00002110;09.07.2023 0:00:00;87
00002110;10.07.2023 0:00:00;95
00002110;11.07.2023 0:00:00;240
00002110;12.07.2023 0:00:00;225
00002110;13.07.2023 0:00:00;26
00002110;14.07.2023 0:00:00;23
00002110;15.07.2023 0:00:00;801
00002110;16.07.2023 0:00:00;25
00002110;17.07.2023 0:00:00;44
00002110;18.07.2023 0:00:00;148
00002110;19.07.2023 0:00:00;207
00002110;20.07.2023 0:00:00;32
00002110;21.07.2023 0:00:00;31
00002110;22.07.2023 0:00:00;73
00002110;23.07.2023 0:00:00;58
00002110;24.07.2023 0:00:00;23
00002110;25.07.2023 0:00:00;58
00002110;26.07.2023 0:00:00;0
00002110;27.07.2023 0:00:00;2245
00002110;28.07.2023 0:00:00;0
00002110;29.07.2023 0:00:00;13
00002110;30.07.2023 0:00:00;136
00002110;31.07.2023 0:00:00;274
00002110;01.08.2023 0:00:00;56
00002110;02.08.2023 0:00:00;880
00002110;03.08.2023 0:00:00;138
00002110;04.08.2023 0:00:00;0
00002110;05.08.2023 0:00:00;1049
00002110;06.08.2023 0:00:00;125
00002110;07.08.2023 0:00:00;22
00002110;08.08.2023 0:00:00;55
00002110;09.08.2023 0:00:00;171
00002110;10.08.2023 0:00:00;400
00002110;11.08.2023 0:00:00;22
00002110;12.08.2023 0:00:00;30
00002110;13.08.2023 0:00:00;4
00002110;14.08.2023 0:00:00;440
00002110;15.08.2023 0:00:00;70
00002110;16.08.2023 0:00:00;130
00002110;17.08.2023 0:00:00;15
00002110;18.08.2023 0:00:00;9
00002110;19.08.2023 0:00:00;1008
00002110;20.08.2023 0:00:00;4
00002110;21.08.2023 0:00:00;16
00002110;22.08.2023 0:00:00;0
00002110;23.08.2023 0:00:00;0
00002110;24.08.2023 0:00:00;249
00002110;25.08.2023 0:00:00;20
00002110;26.08.2023 0:00:00;25
00002110;27.08.2023 0:00:00;160
00002110;28.08.2023 0:00:00;63
00002110;29.08.2023 0:00:00;203
00002110;30.08.2023 0:00:00;290
00002110;31.08.2023 0:00:00;1
00002110;01.09.2023 0:00:00;0
00002110;02.09.2023 0:00:00;0
00002110;03.09.2023 0:00:00;127
00002110;04.09.2023 0:00:00;23
00002110;05.09.2023 0:00:00;117
00002110;06.09.2023 0:00:00;282
00002110;07.09.2023 0:00:00;10
00002110;08.09.2023 0:00:00;3
00002110;09.09.2023 0:00:00;32
00002110;10.09.2023 0:00:00;247
00002110;11.09.2023 0:00:00;649
00002110;12.09.2023 0:00:00;31
00002110;13.09.2023 0:00:00;226
00002110;14.09.2023 0:00:00;27
00002110;15.09.2023 0:00:00;60
00002110;16.09.2023 0:00:00;21
00002110;17.09.2023 0:00:00;16
00002110;18.09.2023 0:00:00;39
00002110;19.09.2023 0:00:00;117
00002110;20.09.2023 0:00:00;320
00002110;21.09.2023 0:00:00;211
00002110;22.09.2023 0:00:00;18
00002110;23.09.2023 0:00:00;13
