Код;Дата;Расход
00000947;10.12.2023 0:00:00;100
00000947;11.12.2023 0:00:00;110
00000947;12.12.2023 0:00:00;20
00000947;13.12.2023 0:00:00;310
00000947;14.12.2023 0:00:00;60
00000947;15.12.2023 0:00:00;10
00000947;16.12.2023 0:00:00;10
00000947;17.12.2023 0:00:00;40
00000947;18.12.2023 0:00:00;96
00000947;19.12.2023 0:00:00;6
00000947;20.12.2023 0:00:00;1020
00000947;21.12.2023 0:00:00;44
00000947;22.12.2023 0:00:00;20
00000947;23.12.2023 0:00:00;20
00000947;24.12.2023 0:00:00;180
00000947;25.12.2023 0:00:00;70
00000947;26.12.2023 0:00:00;90
00000947;27.12.2023 0:00:00;150
00000947;28.12.2023 0:00:00;0
00000947;29.12.2023 0:00:00;0
00000947;30.12.2023 0:00:00;0
00000947;31.12.2023 0:00:00;0
00000947;01.01.2024 0:00:00;0
00000947;02.01.2024 0:00:00;0
00000947;03.01.2024 0:00:00;0
00000947;04.01.2024 0:00:00;0
00000947;05.01.2024 0:00:00;50
00000947;06.01.2024 0:00:00;0
00000947;07.01.2024 0:00:00;0
00000947;08.01.2024 0:00:00;162
00000947;09.01.2024 0:00:00;110
00000947;10.01.2024 0:00:00;0
00000947;11.01.2024 0:00:00;50
00000947;12.01.2024 0:00:00;50
00000947;13.01.2024 0:00:00;329
00000947;14.01.2024 0:00:00;250
00000947;15.01.2024 0:00:00;44
00000947;16.01.2024 0:00:00;120
00000947;17.01.2024 0:00:00;200
00000947;18.01.2024 0:00:00;30
00000947;19.01.2024 0:00:00;170
00000947;20.01.2024 0:00:00;20
00000947;21.01.2024 0:00:00;80
00000947;22.01.2024 0:00:00;600
00000947;23.01.2024 0:00:00;50
00000947;24.01.2024 0:00:00;1434
00000947;25.01.2024 0:00:00;70
00000947;26.01.2024 0:00:00;66
00000947;27.01.2024 0:00:00;0
00000947;28.01.2024 0:00:00;20
00000947;29.01.2024 0:00:00;30
00000947;30.01.2024 0:00:00;30
00000947;31.01.2024 0:00:00;1000
00000947;01.02.2024 0:00:00;28
00000947;02.02.2024 0:00:00;35
00000947;03.02.2024 0:00:00;70
00000947;04.02.2024 0:00:00;70
00000947;05.02.2024 0:00:00;70
00000947;06.02.2024 0:00:00;0
00000947;07.02.2024 0:00:00;48
00000947;08.02.2024 0:00:00;10
00000947;09.02.2024 0:00:00;10
00000947;10.02.2024 0:00:00;0
00000947;11.02.2024 0:00:00;160
00000947;12.02.2024 0:00:00;0
00000947;13.02.2024 0:00:00;310
00000947;14.02.2024 0:00:00;754
00000947;15.02.2024 0:00:00;130
00000947;16.02.2024 0:00:00;0
00000947;17.02.2024 0:00:00;150
00000947;18.02.2024 0:00:00;100
00000947;19.02.2024 0:00:00;84
00000947;20.02.2024 0:00:00;386
00000947;21.02.2024 0:00:00;558
00000947;22.02.2024 0:00:00;90
00000947;23.02.2024 0:00:00;18
00000947;24.02.2024 0:00:00;0
00000947;25.02.2024 0:00:00;130
00000947;26.02.2024 0:00:00;80
00000947;27.02.2024 0:00:00;55
00000947;28.02.2024 0:00:00;33
00000947;29.02.2024 0:00:00;98
00000947;01.03.2024 0:00:00;20
00000947;02.03.2024 0:00:00;171
00000947;03.03.2024 0:00:00;20
00000947;04.03.2024 0:00:00;29
00000947;05.03.2024 0:00:00;72
00000947;06.03.2024 0:00:00;820
00000947;07.03.2024 0:00:00;1200
00000947;08.03.2024 0:00:00;14
00000947;09.03.2024 0:00:00;0
00000947;10.03.2024 0:00:00;200
00000947;11.03.2024 0:00:00;108
00000947;12.03.2024 0:00:00;486
00000947;13.03.2024 0:00:00;300
00000947;14.03.2024 0:00:00;30
00000947;15.03.2024 0:00:00;72
00000947;16.03.2024 0:00:00;200
00000947;17.03.2024 0:00:00;240
00000947;18.03.2024 0:00:00;34
00000947;19.03.2024 0:00:00;236
00000947;20.03.2024 0:00:00;730
00000947;21.03.2024 0:00:00;171
00000947;22.03.2024 0:00:00;2
00000947;23.03.2024 0:00:00;78
00000947;24.03.2024 0:00:00;184
00000947;25.03.2024 0:00:00;230
00000947;26.03.2024 0:00:00;306
00000947;27.03.2024 0:00:00;325
00000947;28.03.2024 0:00:00;533
00000947;29.03.2024 0:00:00;0
00000947;30.03.2024 0:00:00;100
00000947;31.03.2024 0:00:00;590
00000947;01.04.2024 0:00:00;347
